paper_id,version_family_id,doi,year,publication_date,metadata_correction_applied,metadata_correction_ids,metadata_corrected_fields,metadata_source_row_sha256,metadata_corrected_row_sha256,metadata_evidence_urls,metadata_correction_rationale,metadata_reviewed_at_utc,final_model_families,final_model_description_raw,final_simulation_modalities,final_nts_domains,final_specialty,final_study_design,source_checked_by,source_checked_at_utc,evidence_url_1,evidence_url_2
4781da10664bc6a33ebc,SIVF-00123179eefc9ad346ee331e,10.3390/nursrep15080280,2025,2025-07-31,false,,,42f447986994e447e14d9ddb5bb00a33a75566fe30d341f898a6c511df77d0cf,6900ffb4c99dc20b06c5fda72a4e97bd2885a3135bb577e1225f0c69287196cf,,,,GPT-4,Eval-Bot v1 was built with OpenAI GPT-4.0 to score simulation prompts and anticipate chatbot performance.,scenario,decision_making,nursing,methods_framework,Codex model extraction reviewer B,2026-08-14T21:00:22Z,https://doi.org/10.3390/nursrep15080280,https://europepmc.org/article/MED/40863667
859f96f4eca259cdb9e8,SIVF-00b1f99b8081b998d1fce8d7,10.1109/scisisis61014.2024.10759962,2024,2024-11-09,false,,,287acd822803f3c7adbbb972cdd19244df28b7640d1ab99aa8652953ec6d19af,a147bfada68613260a8ca62cd128968b7e6f59683f98912afeec8554cae09cd4,,,,GPT-3.5,GPT-3.5-turbo with the ChatGPT API and Google speech services powered the Kampo virtual patient,virtual_patient;scenario,communication,kampo_medicine,development_evaluation,Codex model extraction reviewer A,2026-08-14T21:30:37Z,https://doi.org/10.1109/scisisis61014.2024.10759962,https://dic515s1.pu-toyama.ac.jp/IIE.IS.WIKI/wiki_old.php?openfile=S-3-A-2.pdf&plugin=attach&refer=%E5%AD%A6%E4%BC%9A%28%E9%AB%98%E7%94%B0%29
64947cabbe7282713c10,SIVF-00d6f99dc2c78840848ad88f,10.1007/s00296-024-05731-0,2024,2024-10-16,false,,,51586d18a6615887facd04b95aea75a4ac558d64d06b8207dc480edc07e06993,8fbfe71a87d9a90316a84d9709669fa679119988ea8c817df9accee0f786bacc,,,,unspecified_generative_model,"Social robotic VPs may prove useful and safe learning environments for exposing medical students to diverse, highly interactive patient simulations. •An LLM-powered social robotic VP platform provides a more authentic and interactive learning experience compared to conventional computer-based VPs. •Medical students undertaking clinical placements within rheumatology experienced that an LLM-enhanced social robotic...",virtual_patient,communication;decision_making,rheumatology,qualitative,Codex model extraction reviewer C,2026-08-14T21:29:08Z,https://doi.org/10.1007/s00296-024-05731-0,https://pmc.ncbi.nlm.nih.gov/articles/PMC11618132/
e82a026a5524b0d4f0d3,SIVF-00fc9f1db114d45f03344a43,10.1016/j.nepr.2025.104541,2025,2025-08-31,false,,,a7436b334ad40a1a1a26a3e84cb2f22ce2a5999d8a47cb232126be433df8d971,9db8de71cbe5d278f9a79f11c3e2e112b020f83e8f79c2f16bd8c09e6d57cb52,,,,ChatGPT_unspecified,A ChatGPT-oriented prompt-engineering model supported question-centred nursing-simulation debriefing; the model version was not reported,debriefing,,nursing,development_evaluation,Codex model extraction reviewer A,2026-08-14T21:31:21Z,https://doi.org/10.1016/j.nepr.2025.104541,
eb6afac746ee34d7a37f,SIVF-01e2c940a88af90461e6e213,10.70102/afts.2026.1835.482,2026,2026-05-29,false,,,6acd7832f244243a762aa35371dd3ff5fbdfebfd8c98d10495d8cdf151d6241b,c3967fcd2c05bbc12bd75a7a3877168c5c91e469e22ab832000a0b8d82ad92e3,,,,unspecified_generative_model,The paper addresses the idea of integrating Generative AI (GenAI)-based clinical persona as a modification that can be scaled to close the gap between theoretical concepts and clinical environments.,virtual_patient,communication;decision_making,psychology,randomized_trial,Codex model extraction reviewer C,2026-08-14T21:29:08Z,https://doi.org/10.70102/afts.2026.1835.482,https://www.semanticscholar.org/paper/4f8e6353ddb2d5274117155f24abb3606650a594
116dd099707d378fb9a6,SIVF-02403b57baa5628862cca04a,10.1186/s41077-026-00429-8,2026,2026-03,false,,,902490516b4e033fd80c43db43fee825433e5ca4e08e72f54aae32e0c56b08be,78fe5b9d78a22ca8fdb5330be0ead145f4ffe20593d6de3638f7234a236b8d9a,,,,unspecified_generative_model,BRAVE used an unnamed generative-AI virtual patient plus dialogic reflective debrief and SPwICES feedback,virtual_patient;scenario;debriefing,communication,general_medical_education,mixed_methods,Codex model extraction reviewer A,2026-08-14T21:32:12Z,https://doi.org/10.1186/s41077-026-00429-8,
9d0e015a74d4a026b092,SIVF-030ae81c5f9e9031d4758f67,10.3946/kjme.2025.151,2026,2026-03-20,false,,,821614188ccafe96cd60a13354377754f1b6fb46a339158e612965553c4dbd88,0c74b1bf595569f2faa4eb5da59384b7936302613da4fc03bad546f977ef67f8,,,,unspecified_generative_model,"Based on these findings, prototype virtual patient simulations were developed within a metaverse environment.",virtual_patient;scenario;osce;vr_ar_xr,communication;decision_making,medicine,development_evaluation,Codex model extraction reviewer C,2026-08-14T21:29:08Z,https://doi.org/10.3946/kjme.2025.151,https://openalex.org/W7138939829
47160b043b610b447eca,SIVF-0369ae316c6d998b64e3c477,10.3390/electronics14051028,2025,2025-03-05,false,,,a29a7104e103e9dabe947cc2d4fde1ba57bbc042c8c830425e3d492864a79dbe,042dc1a7391f1caa76ab23b0cc84fa337bb6928beac7a5c86234f4e1fcf966e5,,,,unspecified_generative_model,Unnamed generative-AI models were addressed through the PROMPT+ framework for emergency and anesthesia simulation scenarios.,scenario,decision_making,emergency_medicine;anesthesiology,methods_framework,Codex model extraction reviewer B,2026-08-14T21:07:07Z,https://doi.org/10.3390/electronics14051028,https://www.mdpi.com/2079-9292/14/5/1028/pdf?version=1741154353
9aeba4bdaf161dff8c40,SIVF-03b5cfd720cb3cd12507aef0,10.48550/arxiv.2404.19713,2024,2024-04-30,false,,,a89cb06f54231d942b1dc80c479cefd3d5c1651eef0f729458881b9166ec3d72,9ddb6a09d70bc19a00ff239e724f9ed2a9116099cc0f598114b3ee0a81916a70,,,,GPT-3.5,ChatGPT-3.5 combined with semi-structured data to automate detailed medical-simulation scenarios.,scenario,,medicine,development_evaluation,Codex model extraction reviewer B,2026-08-14T21:05:08Z,https://doi.org/10.48550/arxiv.2404.19713,http://arxiv.org/abs/2404.19713
01a746b554d461cb998c,SIVF-03c5c16ab54fab9a40527809,10.2196/59213,2024,2024-08-16,false,,,9c28d85dd1024350a1389c87025a810bcbbb35436fcaf4570844559eda77ff00,bff66e90097c92e3d1ae0481dc32135b311433044f182cd80392884d164d0d95,,,,GPT-4,GPT-4 powered the simulated patient and generated structured history-taking feedback.,virtual_patient,communication,medicine,observational,Codex model extraction reviewer B,2026-08-14T21:00:22Z,https://doi.org/10.2196/59213,https://europepmc.org/article/MED/39150749
2a63460a75ff944e1d44,SIVF-0436655111eb6095e22f91da,10.7759/cureus.87591,2025,2025-07-01,false,,,64529a264e7f4026045f0b91f630393cf704a3409b40c24eddaa57610d68dc74,5c23aee7f6a4714e8a06af0166c13dc2411226451a9e6b947bbc7ecebd1de32f,,,,GPT-3.5;GPT-4,Feedback was provided solely using GPT-4 in combination with prompt techniques.,standardized_patient;scenario;osce,communication;decision_making,ophthalmology,nonrandomized_comparative,Codex model extraction reviewer C,2026-08-14T21:29:08Z,https://doi.org/10.7759/cureus.87591,https://europepmc.org/articles/PMC12333315?pdf=render
