#,paper_id,ai_decision
1,270a8c616aeb7c3b,INCLUDE
2,133da01ee8136353,INCLUDE
3,77d9a5fdc509e20c,EXCLUDE
4,85713059046ab30a,EXCLUDE
5,9366e56b8f917b93,EXCLUDE
6,cfecb759e393095f,INCLUDE
7,8a7d59f2d0dbace6,EXCLUDE
8,fb34828556ddb4a4,EXCLUDE
9,bbff994df0d2af6b,EXCLUDE
10,5b16e997aa2b3262,INCLUDE
11,deb1ab7a6731254e,EXCLUDE
12,823f4aec3f81232e,EXCLUDE
13,3bc8e74fdff21554,EXCLUDE
14,b4a1928b98621c0b,INCLUDE
15,8c8cb239a3a69136,EXCLUDE
16,c16a71fbc09fe7fe,INCLUDE
17,55205ef6b39abe91,EXCLUDE
18,e904f13e5b522b7a,EXCLUDE
19,44a6e003a0548da2,INCLUDE
20,d1fd2675a5e930d5,EXCLUDE
21,fa001dbccbea64d8,INCLUDE
22,6558ac0d34844dc9,INCLUDE
23,7a455820d3203f0d,INCLUDE
24,74a78cba437a316f,EXCLUDE
25,67e427dca5ec15df,INCLUDE
26,9ee01c4136c059b0,INCLUDE
27,6fbce313ae35e80f,INCLUDE
28,1da517728fa75d86,INCLUDE
29,123181d6ca19ded6,INCLUDE
30,517f96c6c812ec71,EXCLUDE
